客户号,客户姓名,性别,年龄_连续,婚姻状态,户籍,教育程度,居住类型,职业类别,工作年限,个人收入_连续,保险缴纳,车辆情况,信用总评分,信用等级,额度,审批结果
0000999993839482,anon_S3910,男,34,未婚,贵州,本科,租房,私营企业,11,53450,有,无,60,D-风险客户,10000,0-通过
0000999993839493,anon_S3911,男,34,未婚,四川,本科,租房,私营企业,11,53450,有,无,60,D-风险客户,10000,0-通过
0000999993839506,anon_S3912,男,34,已婚,甘肃,本科,租房,私营企业,11,53450,有,无,60,D-风险客户,10000,0-通过
0000999993818021,anon_S1765,女,33,未婚,河北,硕士及以上,自购房,私营企业,8,27599,有,有,60,D-风险客户,10000,0-通过
0000999993839663,anon_S3928,男,34,未婚,天津,本科,租房,国有企业,11,53892,有,无,60,D-风险客户,10000,0-通过
0000999993802600,anon_S258,女,47,已婚,湖南,本科,自购房,个体户,24,12330,有,有,60,D-风险客户,10000,0-通过
0000999993839732,anon_S3935,男,34,未婚,陕西,本科,租房,国有企业,11,53998,有,无,60,D-风险客户,10000,0-通过
0000999993839845,anon_S3946,男,34,未婚,重庆,本科,租房,私营企业,11,54000,有,无,60,D-风险客户,10000,0-通过
0000999993839856,anon_S3947,男,34,未婚,广东,本科,租房,私营企业,11,54000,有,无,60,D-风险客户,10000,0-通过
0000999993839867,anon_S3948,男,32,已婚,河南,本科,租房,个体户,9,54000,有,无,60,D-风险客户,10000,0-通过
0000999993839903,anon_S3952,男,34,离异,广东,本科,租房,国有企业,11,54000,有,无,60,D-风险客户,10000,0-通过
0000999993839947,anon_S3956,女,34,离异,河北,本科,租房,个体户,11,54000,有,无,60,D-风险客户,10000,0-通过
0000999993839958,anon_S3957,男,34,未婚,贵州,本科,租房,私营企业,11,54000,有,无,60,D-风险客户,10000,0-通过
0000999993802214,anon_S219,女,47,已婚,贵州,本科,自购房,私营企业,24,11320,有,有,60,D-风险客户,10000,0-通过
0000999993839992,anon_S3961,男,34,未婚,四川,本科,租房,私营企业,11,54000,有,无,60,D-风险客户,10000,0-通过
0000999993840001,anon_S3962,男,34,未婚,北京,本科,租房,私营企业,11,54000,有,无,60,D-风险客户,10000,0-通过
0000999993840045,anon_S3966,男,32,未婚,天津,本科,租房,私营企业,9,54000,有,无,60,D-风险客户,10000,0-通过
0000999993840352,anon_S3997,女,34,未婚,北京,本科,租房,国有企业,11,54596,有,无,60,D-风险客户,10000,0-通过
0000999993840363,anon_S3998,男,35,未婚,山东,本科,租房,私营企业,12,54596,有,无,60,D-风险客户,10000,0-通过
0000999993808205,anon_S783,女,46,未婚,青海,本科,自购房,私营企业,23,18617,有,有,60,D-风险客户,10000,0-通过
0000999993847278,anon_S4686,男,31,已婚,江西,大专,租房,私营企业,11,68000,有,无,60,D-风险客户,10000,0-通过
0000999993833945,anon_S3357,女,39,未婚,北京,硕士及以上,租房,私营企业,14,47179,无,无,60,D-风险客户,10000,0-通过
0000999993847289,anon_S4687,男,31,未婚,安徽,大专,租房,个体户,11,68000,有,无,60,D-风险客户,10000,0-通过
0000999993816737,anon_S1636,男,44,已婚,吉林,本科,自购房,私营企业,21,25650,有,有,60,D-风险客户,10000,0-通过
0000999993802043,anon_S203,男,52,已婚,广东,大专,自购房,私营企业,32,11230,有,有,60,D-风险客户,10000,0-通过
0000999993840839,anon_S4045,男,34,未婚,北京,本科,租房,私营企业,11,56000,有,无,60,D-风险客户,10000,0-通过
0000999993840884,anon_S4050,女,33,已婚,浙江,本科,租房,私营企业,10,56000,有,无,60,D-风险客户,10000,0-通过
0000999993816501,anon_S1613,男,50,未婚,江苏,本科,自购房,个体户,27,25575,有,有,60,D-风险客户,10000,0-通过
0000999993841107,anon_S4072,女,34,已婚,河北,本科,租房,个体户,11,56000,有,无,60,D-风险客户,10000,0-通过
0000999993847392,anon_S4698,男,33,已婚,宁夏,本科,租房,私营企业,10,68000,有,无,60,D-风险客户,10000,0-通过
0000999993846569,anon_S4616,男,38,未婚,北京,硕士及以上,租房,其他企业,13,67000,无,无,60,D-风险客户,10000,0-通过
0000999993841196,anon_S4081,女,33,已婚,黑龙江,本科,租房,个体户,10,56000,有,无,60,D-风险客户,10000,0-通过
0000999993841209,anon_S4082,男,34,离异,上海,本科,租房,私营企业,11,56000,有,无,60,D-风险客户,10000,0-通过
0000999993804834,anon_S446,女,47,未婚,河北,本科,自购房,私营企业,24,14000,有,有,60,D-风险客户,10000,0-通过
0000999993804812,anon_S444,女,47,未婚,北京,本科,自购房,国有企业,24,13984,有,有,60,D-风险客户,10000,0-通过
0000999993804696,anon_S432,男,47,未婚,海南,本科,自购房,私营企业,24,13944,有,有,60,D-风险客户,10000,0-通过
0000999993841583,anon_S4120,男,33,未婚,江西,本科,租房,国有企业,10,56789,有,无,60,D-风险客户,10000,0-通过
0000999993847416,anon_S4700,男,35,已婚,广西,本科,租房,个体户,12,68000,有,无,60,D-风险客户,10000,0-通过
0000999993847427,anon_S4701,女,29,已婚,宁夏,大专,租房,国有企业,9,68000,有,无,60,D-风险客户,10000,0-通过
0000999993804685,anon_S431,男,47,未婚,河北,本科,自购房,个体户,24,13944,有,有,60,D-风险客户,10000,0-通过
0000999993841662,anon_S4128,女,33,未婚,山东,本科,租房,私营企业,10,57483,有,无,60,D-风险客户,10000,0-通过
0000999993801550,anon_S154,男,59,已婚,山东,大专,自购房,私营企业,39,10860,有,有,60,D-风险客户,10000,0-通过
0000999993841822,anon_S4143,男,31,未婚,内蒙古,大专,租房,私营企业,11,57600,有,无,60,D-风险客户,10000,0-通过
0000999993864259,anon_S6367,男,20,未婚,广东,高中,其他,外资企业,2,155060,无,无,60,D-风险客户,10000,0-通过
0000999993801345,anon_S133,男,42,未婚,黑龙江,大专,自购房,国有企业,22,10810,有,有,60,D-风险客户,10000,0-通过
0000999993816498,anon_S1612,男,29,未婚,青海,硕士及以上,自购房,外资企业,4,25575,有,有,60,D-风险客户,10000,0-通过
0000999993818101,anon_S1773,女,45,未婚,北京,本科,自购房,私营企业,22,27612,有,有,60,D-风险客户,10000,0-通过
0000999993806784,anon_S641,男,44,未婚,海南,本科,自购房,个体户,21,17000,有,有,60,D-风险客户,10000,0-通过
0000999993806751,anon_S638,女,51,已婚,宁夏,本科,自购房,外资企业,28,17000,有,有,60,D-风险客户,10000,0-通过
0000999993822559,anon_S2218,男,34,已婚,贵州,本科,租房,私营企业,11,33600,有,无,60,D-风险客户,10000,0-通过
0000999993801038,anon_S102,男,48,已婚,北京,本科,自购房,私营企业,25,10634,有,有,60,D-风险客户,10000,0-通过
0000999993822741,anon_S2237,男,21,已婚,青海,本科,其他,私营企业,0,34000,有,有,60,D-风险客户,10000,0-通过
0000999993804324,anon_S395,男,32,未婚,甘肃,硕士及以上,自购房,其他企业,7,13720,有,有,60,D-风险客户,10000,0-通过
0000999993842474,anon_S4207,男,32,未婚,黑龙江,大专,租房,其他企业,12,59625,有,无,60,D-风险客户,10000,0-通过
0000999993842521,anon_S4212,男,32,未婚,北京,本科,租房,外资企业,9,59685,有,无,60,D-风险客户,10000,0-通过
0000999993842532,anon_S4213,男,34,未婚,甘肃,本科,租房,私营企业,11,59685,有,无,60,D-风险客户,10000,0-通过
0000999993842543,anon_S4214,女,34,未婚,天津,本科,租房,外资企业,11,59685,有,无,60,D-风险客户,10000,0-通过
0000999993823096,anon_S2272,男,33,已婚,山东,本科,租房,私营企业,10,34461,有,无,60,D-风险客户,10000,0-通过
0000999993842757,anon_S4235,男,31,未婚,天津,大专,租房,私营企业,11,60000,无,有,60,D-风险客户,10000,0-通过
0000999993836775,anon_S3639,女,32,未婚,贵州,本科,租房,私营企业,9,49400,有,无,60,D-风险客户,10000,0-通过
0000999993847483,anon_S4707,男,34,未婚,河南,本科,租房,私营企业,11,68200,有,无,60,D-风险客户,10000,0-通过
0000999993842906,anon_S4250,女,32,未婚,湖北,大专,租房,私营企业,12,60000,无,有,60,D-风险客户,10000,0-通过
0000999993842951,anon_S4255,男,30,未婚,西藏,大专,租房,私营企业,10,60000,无,有,60,D-风险客户,10000,0-通过
0000999993842973,anon_S4257,男,30,未婚,新疆,大专,租房,外资企业,10,60000,无,有,60,D-风险客户,10000,0-通过
0000999993823303,anon_S2293,男,32,未婚,辽宁,本科,租房,个体户,9,34776,有,无,60,D-风险客户,10000,0-通过
0000999993823347,anon_S2297,男,33,未婚,湖南,本科,租房,国有企业,10,34779,有,无,60,D-风险客户,10000,0-通过
0000999993843182,anon_S4278,男,32,未婚,湖北,大专,租房,私营企业,12,60000,有,无,60,D-风险客户,10000,0-通过
0000999993843206,anon_S4280,男,31,未婚,河北,大专,租房,私营企业,11,60000,有,无,60,D-风险客户,10000,0-通过
0000999993846717,anon_S4631,男,32,未婚,上海,大专,租房,个体户,12,67400,有,无,60,D-风险客户,10000,0-通过
0000999993804119,anon_S374,女,46,已婚,重庆,本科,自购房,私营企业,23,13550,有,有,60,D-风险客户,10000,0-通过
0000999993836844,anon_S3646,男,32,已婚,黑龙江,本科,租房,私营企业,9,49400,有,无,60,D-风险客户,10000,0-通过
0000999993846739,anon_S4633,男,35,未婚,重庆,本科,租房,外资企业,12,67400,有,无,60,D-风险客户,10000,0-通过
0000999993803910,anon_S289,女,51,已婚,北京,本科,自购房,个体户,28,13380,有,有,60,D-风险客户,10000,0-通过
0000999993826008,anon_S2563,男,34,已婚,广西,本科,租房,其他企业,11,37919,有,无,60,D-风险客户,10000,0-通过
0000999993853032,anon_S5252,男,32,未婚,海南,大专,租房,国有企业,12,78000,有,无,60,D-风险客户,10000,0-通过
0000999993826531,anon_S2616,女,34,未婚,新疆,本科,租房,私营企业,11,38344,有,无,60,D-风险客户,10000,0-通过
0000999993816329,anon_S1595,男,66,未婚,湖南,本科,自购房,国有企业,43,25500,有,有,60,D-风险客户,10000,0-通过
0000999993826553,anon_S2618,女,35,未婚,新疆,本科,租房,个体户,12,38344,有,无,60,D-风险客户,10000,0-通过
0000999993853190,anon_S5268,女,32,未婚,陕西,本科,租房,私营企业,9,78160,有,无,60,D-风险客户,10000,0-通过
0000999993853214,anon_S5270,男,32,未婚,山西,大专,租房,私营企业,12,78400,有,无,60,D-风险客户,10000,0-通过
0000999993808409,anon_S803,女,70,未婚,安徽,本科,自购房,外资企业,47,18760,有,有,60,D-风险客户,10000,0-通过
0000999993826723,anon_S2635,男,33,已婚,青海,本科,租房,私营企业,10,38396,有,无,60,D-风险客户,10000,0-通过
0000999993814887,anon_S1451,女,56,未婚,四川,大专,自购房,外资企业,36,24190,有,有,60,D-风险客户,10000,0-通过
0000999993820324,anon_S1995,女,35,已婚,安徽,本科,租房,国有企业,12,30650,有,无,60,D-风险客户,10000,0-通过
0000999993853350,anon_S5284,男,32,未婚,青海,本科,租房,私营企业,9,78410,有,无,60,D-风险客户,10000,0-通过
0000999993853383,anon_S5287,女,33,已婚,河南,本科,租房,国有企业,10,78410,有,无,60,D-风险客户,10000,0-通过
0000999993827057,anon_S2668,女,33,已婚,海南,本科,租房,私营企业,10,38645,有,无,60,D-风险客户,10000,0-通过
0000999993814763,anon_S1439,女,56,离异,福建,本科,自购房,个体户,33,24113,有,有,60,D-风险客户,10000,0-通过
0000999993814661,anon_S1429,女,51,已婚,重庆,本科,自购房,外资企业,28,24108,有,有,60,D-风险客户,10000,0-通过
0000999993827375,anon_S2700,女,33,已婚,四川,本科,租房,私营企业,10,38750,有,无,60,D-风险客户,10000,0-通过
0000999993858789,anon_S5824,男,20,离异,广西,高中,其他,私营企业,2,105000,无,无,60,D-风险客户,10000,0-通过
0000999993851636,anon_S5114,女,39,未婚,北京,硕士及以上,租房,私营企业,14,75600,无,无,60,D-风险客户,10000,0-通过
0000999993841163,anon_S4078,男,34,已婚,北京,本科,租房,私营企业,11,56000,有,无,60,D-风险客户,10000,0-通过
0000999993814560,anon_S1419,男,45,离异,浙江,本科,自购房,私营企业,22,23980,有,有,60,D-风险客户,10000,0-通过
0000999993827829,anon_S2745,女,34,已婚,上海,本科,租房,私营企业,11,38985,有,无,60,D-风险客户,10000,0-通过
0000999993827830,anon_S2746,男,35,已婚,广西,本科,租房,私营企业,12,38985,有,无,60,D-风险客户,10000,0-通过
0000999993827976,anon_S2760,男,34,未婚,广西,本科,租房,外资企业,11,39162,有,无,60,D-风险客户,10000,0-通过
0000999993828120,anon_S2775,女,34,已婚,海南,本科,租房,私营企业,11,39198,有,无,60,D-风险客户,10000,0-通过
0000999993817708,anon_S1733,男,29,未婚,江西,硕士及以上,自购房,国有企业,4,27396,有,有,60,D-风险客户,10000,0-通过
0000999993814479,anon_S1410,女,31,未婚,甘肃,硕士及以上,自购房,私营企业,6,23916,有,有,60,D-风险客户,10000,0-通过
0000999993811558,anon_S1118,女,45,已婚,天津,本科,自购房,私营企业,22,21590,有,有,60,D-风险客户,10000,0-通过
0000999993844119,anon_S4371,女,30,未婚,贵州,大专,租房,私营企业,10,62246,有,无,60,D-风险客户,10000,0-通过
0000999993819160,anon_S1879,女,48,未婚,湖南,本科,自购房,私营企业,25,29200,有,有,60,D-风险客户,10000,0-通过
0000999993844233,anon_S4383,女,30,已婚,安徽,大专,租房,外资企业,10,62900,有,无,60,D-风险客户,10000,0-通过
0000999993844255,anon_S4385,男,31,未婚,山东,大专,租房,个体户,11,63000,有,无,60,D-风险客户,10000,0-通过
0000999993847529,anon_S4711,男,30,未婚,陕西,大专,租房,其他企业,10,68520,有,无,60,D-风险客户,10000,0-通过
0000999993828506,anon_S2813,男,32,已婚,重庆,本科,租房,私营企业,9,39364,有,无,60,D-风险客户,10000,0-通过
0000999993828674,anon_S2830,女,33,已婚,海南,本科,租房,个体户,10,39416,有,无,60,D-风险客户,10000,0-通过
0000999993806445,anon_S607,女,42,已婚,上海,大专,自购房,国有企业,22,15675,有,有,60,D-风险客户,10000,0-通过
0000999993853779,anon_S5326,男,33,未婚,北京,本科,租房,私营企业,10,79900,有,无,60,D-风险客户,10000,0-通过
0000999993828754,anon_S2838,男,32,未婚,陕西,本科,租房,个体户,9,39461,有,无,60,D-风险客户,10000,0-通过
0000999993828992,anon_S2862,女,34,未婚,安徽,本科,租房,私营企业,11,39553,有,无,60,D-风险客户,10000,0-通过
0000999993814311,anon_S1394,男,64,未婚,天津,大专,自购房,外资企业,44,23765,有,有,60,D-风险客户,10000,0-通过
0000999993854014,anon_S5350,男,31,未婚,北京,大专,租房,私营企业,11,80000,有,无,60,D-风险客户,10000,0-通过
0000999993854047,anon_S5353,男,32,未婚,重庆,大专,租房,外资企业,12,80000,有,无,60,D-风险客户,10000,0-通过
0000999993814059,anon_S1368,男,48,未婚,陕西,大专,自购房,私营企业,28,23476,有,有,60,D-风险客户,10000,0-通过
0000999993829532,anon_S2916,男,39,未婚,上海,硕士及以上,租房,私营企业,14,39872,无,无,60,D-风险客户,10000,0-通过
0000999993811706,anon_S1133,女,54,未婚,湖北,本科,自购房,个体户,31,21681,有,有,60,D-风险客户,10000,0-通过
0000999993814004,anon_S1363,女,68,已婚,广西,本科,自购房,私营企业,45,23460,有,有,60,D-风险客户,10000,0-通过
0000999993813850,anon_S1348,女,31,已婚,湖北,硕士及以上,自购房,私营企业,6,23420,有,有,60,D-风险客户,10000,0-通过
0000999993829973,anon_S2960,男,32,已婚,浙江,本科,租房,私营企业,9,40013,有,无,60,D-风险客户,10000,0-通过
0000999993824023,anon_S2365,男,32,未婚,湖南,本科,租房,私营企业,9,36159,有,无,60,D-风险客户,10000,0-通过
0000999993846773,anon_S4637,男,31,未婚,浙江,大专,租房,私营企业,11,67400,有,无,60,D-风险客户,10000,0-通过
0000999993809344,anon_S897,男,32,已婚,湖南,硕士及以上,自购房,私营企业,7,19360,有,有,60,D-风险客户,10000,0-通过
0000999993824067,anon_S2369,女,32,未婚,广西,本科,租房,私营企业,9,36275,有,无,60,D-风险客户,10000,0-通过
0000999993829995,anon_S2962,男,35,未婚,内蒙古,本科,租房,外资企业,12,40013,有,无,60,D-风险客户,10000,0-通过
0000999993830070,anon_S2970,男,32,已婚,广西,本科,租房,私营企业,9,40017,有,无,60,D-风险客户,10000,0-通过
0000999993830309,anon_S2993,女,38,未婚,安徽,硕士及以上,租房,个体户,13,41038,无,无,60,D-风险客户,10000,0-通过
0000999993813497,anon_S1312,男,59,已婚,天津,本科,自购房,私营企业,36,23000,有,有,60,D-风险客户,10000,0-通过
0000999993824103,anon_S2373,男,33,已婚,安徽,本科,租房,外资企业,10,36275,有,无,60,D-风险客户,10000,0-通过
0000999993830659,anon_S3028,女,38,已婚,西藏,硕士及以上,租房,私营企业,13,42160,无,无,60,D-风险客户,10000,0-通过
0000999993844765,anon_S4436,男,32,未婚,北京,大专,租房,其他企业,12,63600,有,无,60,D-风险客户,10000,0-通过
0000999993844776,anon_S4437,男,31,未婚,北京,大专,租房,私营企业,11,63600,有,无,60,D-风险客户,10000,0-通过
0000999993844787,anon_S4438,男,31,未婚,广西,大专,租房,外资企业,11,63600,有,无,60,D-风险客户,10000,0-通过
0000999993844798,anon_S4439,男,32,未婚,河南,大专,租房,外资企业,12,63600,有,无,60,D-风险客户,10000,0-通过
0000999993844878,anon_S4447,男,30,未婚,北京,大专,租房,私营企业,10,63600,有,无,60,D-风险客户,10000,0-通过
0000999993813486,anon_S1311,女,46,已婚,重庆,本科,自购房,私营企业,23,23000,有,有,60,D-风险客户,10000,0-通过
0000999993844890,anon_S4449,男,30,未婚,北京,大专,租房,私营企业,10,63600,有,无,60,D-风险客户,10000,0-通过
0000999993844903,anon_S4450,男,30,未婚,福建,大专,租房,私营企业,10,63600,有,无,60,D-风险客户,10000,0-通过
0000999993813408,anon_S1303,女,29,未婚,宁夏,硕士及以上,自购房,私营企业,4,22975,有,有,60,D-风险客户,10000,0-通过
0000999993813395,anon_S1302,男,29,未婚,天津,硕士及以上,自购房,私营企业,4,22975,有,有,60,D-风险客户,10000,0-通过
0000999993813328,anon_S1295,女,45,已婚,上海,本科,自购房,私营企业,22,22599,有,有,60,D-风险客户,10000,0-通过
0000999993844981,anon_S4458,男,32,未婚,广西,本科,租房,个体户,9,64100,有,无,60,D-风险客户,10000,0-通过
0000999993845033,anon_S4463,男,30,未婚,上海,大专,租房,私营企业,10,64100,有,无,60,D-风险客户,10000,0-通过
0000999993849106,anon_S4868,男,38,已婚,山西,硕士及以上,租房,私营企业,13,70072,无,无,60,D-风险客户,10000,0-通过
0000999993848975,anon_S4855,男,33,已婚,陕西,本科,租房,外资企业,10,70056,有,无,60,D-风险客户,10000,0-通过
0000999993813180,anon_S1281,女,60,已婚,北京,本科,自购房,私营企业,37,22297,有,有,60,D-风险客户,10000,0-通过
0000999993848737,anon_S4831,男,29,未婚,山西,初中及以下,租房,私营企业,29,70000,有,无,60,D-风险客户,10000,0-通过
0000999993848668,anon_S4824,男,45,已婚,湖北,初中及以下,租房,私营企业,17,69935,有,无,60,D-风险客户,10000,0-通过
0000999993812631,anon_S1226,女,47,已婚,广西,大专,自购房,私营企业,27,22058,有,有,60,D-风险客户,10000,0-通过
0000999993848590,anon_S4817,女,34,未婚,浙江,本科,租房,私营企业,11,69560,有,无,60,D-风险客户,10000,0-通过
0000999993848249,anon_S4782,男,30,未婚,辽宁,大专,租房,外资企业,10,69000,有,无,60,D-风险客户,10000,0-通过
0000999993848238,anon_S4781,女,32,已婚,宁夏,本科,租房,外资企业,9,69000,有,无,60,D-风险客户,10000,0-通过
0000999993812176,anon_S1180,男,46,已婚,四川,大专,自购房,外资企业,26,21825,有,有,60,D-风险客户,10000,0-通过
0000999993848090,anon_S4767,男,33,已婚,内蒙古,本科,租房,私营企业,10,69000,有,无,60,D-风险客户,10000,0-通过
0000999993848089,anon_S4766,女,32,未婚,浙江,本科,租房,私营企业,9,69000,有,无,60,D-风险客户,10000,0-通过
0000999993848034,anon_S4761,男,31,未婚,甘肃,大专,租房,私营企业,11,68949,有,无,60,D-风险客户,10000,0-通过
0000999993847960,anon_S4754,男,31,未婚,内蒙古,大专,租房,其他企业,11,68949,有,无,60,D-风险客户,10000,0-通过
0000999993846853,anon_S4645,男,30,未婚,浙江,大专,租房,私营企业,10,67400,有,无,60,D-风险客户,10000,0-通过
0000999993846864,anon_S4646,男,30,未婚,山东,大专,租房,外资企业,10,67400,有,无,60,D-风险客户,10000,0-通过
0000999993863426,anon_S6284,男,20,未婚,福建,高中,其他,外资企业,2,150000,无,无,60,D-风险客户,10000,0-通过
0000999993846944,anon_S4654,男,30,未婚,吉林,大专,租房,私营企业,10,67500,有,无,60,D-风险客户,10000,0-通过
0000999993802995,anon_S292,女,53,未婚,重庆,大专,自购房,私营企业,33,12750,有,有,60,D-风险客户,10000,0-通过
0000999993802984,anon_S291,女,46,已婚,安徽,本科,自购房,私营企业,23,12750,有,有,60,D-风险客户,10000,0-通过
0000999993809388,anon_S901,男,46,未婚,四川,本科,自购房,私营企业,23,19360,有,有,60,D-风险客户,10000,0-通过
0000999993817470,anon_S1710,女,53,未婚,吉林,大专,自购房,私营企业,33,27174,有,有,60,D-风险客户,10000,0-通过
0000999993837984,anon_S3760,男,37,已婚,黑龙江,初中及以下,租房,私营企业,49,50360,无,有,60,D-风险客户,10000,0-通过
0000999993818236,anon_S1786,女,29,未婚,河南,硕士及以上,自购房,私营企业,4,27700,有,有,60,D-风险客户,10000,0-通过
0000999993846161,anon_S4576,男,32,未婚,湖南,本科,租房,私营企业,9,66182,有,无,60,D-风险客户,10000,0-通过
0000999993845384,anon_S4498,男,31,未婚,贵州,大专,租房,个体户,11,65000,无,有,60,D-风险客户,10000,0-通过
0000999993845395,anon_S4499,男,32,未婚,陕西,大专,租房,私营企业,12,65000,无,有,60,D-风险客户,10000,0-通过
0000999993838036,anon_S3765,男,34,已婚,上海,本科,租房,私营企业,11,50800,有,无,60,D-风险客户,10000,0-通过
0000999993838047,anon_S3766,男,32,未婚,海南,本科,租房,个体户,9,50800,有,无,60,D-风险客户,10000,0-通过
0000999993838194,anon_S3781,男,32,未婚,河南,本科,租房,私营企业,9,51010,有,无,60,D-风险客户,10000,0-通过
0000999993838207,anon_S3782,男,32,未婚,广西,本科,租房,私营企业,9,51010,有,无,60,D-风险客户,10000,0-通过
0000999993838263,anon_S3788,男,33,已婚,宁夏,本科,租房,私营企业,10,51090,有,无,60,D-风险客户,10000,0-通过
0000999993838274,anon_S3789,男,34,未婚,北京,本科,租房,外资企业,11,51090,有,无,60,D-风险客户,10000,0-通过
0000999993845486,anon_S4508,男,31,未婚,重庆,大专,租房,私营企业,11,65400,有,无,60,D-风险客户,10000,0-通过
0000999993845497,anon_S4509,男,30,未婚,安徽,大专,租房,个体户,10,65400,有,无,60,D-风险客户,10000,0-通过
0000999993838296,anon_S3791,男,33,未婚,北京,本科,租房,私营企业,10,51090,有,无,60,D-风险客户,10000,0-通过
0000999993838343,anon_S3796,男,33,未婚,吉林,本科,租房,私营企业,10,51600,有,无,60,D-风险客户,10000,0-通过
0000999993838412,anon_S3803,男,35,离异,上海,本科,租房,私营企业,12,51600,有,无,60,D-风险客户,10000,0-通过
0000999993838456,anon_S3807,男,33,未婚,山西,本科,租房,私营企业,10,51800,有,无,60,D-风险客户,10000,0-通过
0000999993845599,anon_S4519,男,34,已婚,陕西,本科,租房,私营企业,11,65520,有,无,60,D-风险客户,10000,0-通过
0000999993838490,anon_S3811,男,33,已婚,安徽,本科,租房,国有企业,10,52000,有,无,60,D-风险客户,10000,0-通过
0000999993837349,anon_S3696,男,32,未婚,湖南,本科,租房,私营企业,9,49788,有,无,60,D-风险客户,10000,0-通过
0000999993817174,anon_S1680,男,51,未婚,江西,本科,自购房,外资企业,28,26052,有,有,60,D-风险客户,10000,0-通过
0000999993847018,anon_S4660,男,30,未婚,广西,大专,租房,私营企业,10,67648,有,无,60,D-风险客户,10000,0-通过
0000999993802848,anon_S277,男,29,已婚,天津,硕士及以上,自购房,其他企业,4,12480,有,有,60,D-风险客户,10000,0-通过
0000999993838637,anon_S3825,男,33,未婚,吉林,本科,租房,外资企业,10,52050,有,无,60,D-风险客户,10000,0-通过
0000999993821351,anon_S2098,女,33,未婚,辽宁,本科,租房,个体户,10,31650,有,无,60,D-风险客户,10000,0-通过
0000999993803749,anon_S272,男,44,已婚,贵州,本科,自购房,个体户,21,13280,有,有,60,D-风险客户,10000,0-通过
0000999993803568,anon_S348,男,31,已婚,吉林,硕士及以上,自购房,外资企业,6,12993,有,有,60,D-风险客户,10000,0-通过
0000999993821373,anon_S2100,女,35,已婚,河南,本科,租房,私营企业,12,31650,有,无,60,D-风险客户,10000,0-通过
0000999993847041,anon_S4663,男,29,已婚,重庆,大专,租房,私营企业,9,67648,有,无,60,D-风险客户,10000,0-通过
0000999993810316,anon_S994,女,51,已婚,宁夏,本科,自购房,私营企业,28,20322,有,有,60,D-风险客户,10000,0-通过
0000999993802780,anon_S271,男,48,离异,北京,本科,自购房,私营企业,25,12460,有,有,60,D-风险客户,10000,0-通过
0000999993802702,anon_S263,男,53,已婚,黑龙江,本科,自购房,个体户,30,12375,有,有,60,D-风险客户,10000,0-通过
0000999993838831,anon_S3845,男,33,未婚,西藏,本科,租房,国有企业,10,52068,有,无,60,D-风险客户,10000,0-通过
0000999993845907,anon_S4550,男,30,未婚,辽宁,大专,租房,私营企业,10,65920,有,无,60,D-风险客户,10000,0-通过
0000999993838842,anon_S3846,女,33,未婚,天津,本科,租房,私营企业,10,52068,有,无,60,D-风险客户,10000,0-通过
0000999993838864,anon_S3848,男,32,已婚,甘肃,本科,租房,私营企业,9,52068,有,无,60,D-风险客户,10000,0-通过
